case;use_private;use_work;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;adopter;sd_age;sd_gender;cg_activities
404;3;1;4;2;4;5;4;2;2;2;2;1;2;1;Ich probiere neue Angebote eher schnell aus.;18;weiblich;Ich nutze es eher, um nicht allzulange mit Google suchen zu müssen, zum Beisüiel um leichtere Antworten schneller zu bekommen oder geeignete Dienste für mich zu finden. Für komplexere Probleme funktioniert es nicht sehr gut
405;3;5;3;3;4;4;4;5;5;2;2;4;5;2;Ich probiere neue Angebote eher schnell aus.;52;weiblich;Überschriften, Ideen sammeln, Social Media Posts, Storyboards
406;4;4;5;3;5;4;3;2;2;3;2;2;2;4;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;23;weiblich;Fragen emails zu formulieren
417;2;2;4;4;3;4;3;4;4;2;1;1;2;2;Ich probiere neue Angebote eher schnell aus.;35;männlich;Verfassen von Textblöcken für Konzertprogramme, nämlich zum Übergang von einer Musiknummer zu einer anderen. Schreiben des gesamten Szenarios und Aufteilen in semantische Themenblöcke.
429;4;1;4;1;4;3;2;1;1;1;1;2;1;3;Ich probiere neue Angebote eher schnell aus.;34;weiblich;Ich optimiere damit Buchrezensionen
449;4;4;4;1;4;5;2;2;2;2;2;1;1;2;Ich probiere neue Angebote eher schnell aus.;39;weiblich;Emails erstellen, Insta Story erstellen
456;3;2;4;2;4;3;3;5;2;4;1;1;4;2;Ich probiere neue Angebote eher schnell aus.;61;männlich;Informationen zu aktuellen Themen historisch einordnen.<br>
483;5;5;5;5;5;5;1;5;5;5;5;5;5;5;Ich probiere neue Angebote sofort aus.;48;männlich;Ich lasse Texte erstellen
497;3;4;4;3;4;4;4;3;3;4;4;2;3;2;Ich probiere neue Angebote sofort aus.;35;männlich;Infos erfragen
515;1;1;1;3;1;1;5;5;5;2;1;1;3;1;Ich probiere neue Angebote eher schnell aus.;44;männlich;Nix
518;2;2;2;2;2;3;4;3;3;3;2;2;1;2;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;53;weiblich;ich suche nach Textformulierungen für komplizierte Situationen, Verhältnisse
533;4;4;5;5;5;5;5;5;5;5;5;5;5;5;Ich probiere neue Angebote sofort aus.;56;männlich;Profile erstellen
542;3;3;4;3;4;4;2;3;2;2;4;3;3;3;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;62;weiblich;Lasse kurze Erklärungen schreiben
553;2;2;4;4;4;4;4;3;3;4;4;3;3;4;Ich probiere neue Angebote eher schnell aus.;40;männlich;Ich benutze es anstelle der Suchmaschine für komplexere Anfragen.
556;5;2;5;4;4;5;5;5;4;5;4;5;4;4;Ich probiere neue Angebote sofort aus.;36;männlich;sehr spannendes spiel
590;3;4;3;4;2;5;4;3;4;2;2;3;4;3;Ich probiere neue Angebote sofort aus.;37;männlich;nix
592;4;1;4;1;3;5;4;4;-9;4;1;1;-9;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;26;weiblich;Texte übersetzen oder Synonyme für Wörter suchen
597;2;1;3;4;4;3;4;3;3;4;2;3;1;1;Ich probiere neue Angebote eher schnell aus.;58;männlich;Bewerbungsunterlagen erstellen
599;4;2;5;3;4;5;2;3;3;1;3;2;3;3;Ich probiere neue Angebote eher schnell aus.;56;weiblich;kurze Erklärungen oder Aufsätze erstellen lassen
635;4;4;3;3;4;4;3;4;4;3;3;3;2;4;Ich probiere neue Angebote sofort aus.;38;männlich;Chatten und austauschen
649;3;3;2;4;4;4;4;4;4;4;4;5;3;3;Ich probiere neue Angebote sofort aus.;33;männlich;Texte erfinden
654;2;1;1;1;1;2;2;1;1;2;1;1;2;3;Ich probiere neue Angebote sofort aus.;39;männlich;Lustige Fragen stellen, wo ich mir sicher bin, das ChatGPT eigentlich keine Antwort haben kann
664;4;1;3;1;4;3;4;3;3;2;2;1;1;2;Ich probiere neue Angebote eher schnell aus.;46;männlich;Schreiben mit privaten Personen im Ausland. Ich kann leider nicht so gut französich
701;2;2;2;2;2;3;2;2;2;1;2;1;1;1;Ich probiere neue Angebote eher schnell aus.;38;männlich;Rumspielen, Texte generieren lassen.
719;1;2;3;2;4;2;3;5;4;4;2;1;1;1;Ich probiere neue Angebote eher schnell aus.;55;weiblich;Ich habe nur herumgespielt und die Fähigkeiten zur Texterstellung ausprobiert.
797;2;5;3;5;5;3;4;2;5;3;2;3;1;1;Ich probiere neue Angebote eher schnell aus.;32;weiblich;hilft mir, gute Artikel zu schreiben
811;4;3;5;2;5;5;2;2;3;2;1;1;1;3;Ich probiere neue Angebote eher schnell aus.;21;männlich;Formulierungshilfen, Übersetzungen, Ideenfindung
826;2;5;3;4;4;4;3;2;4;5;4;2;2;4;Ich probiere neue Angebote eher schnell aus.;20;männlich;Texte zusammenfassen, aber das Fragen zu Methoden im Hinblick auf das Erledigen bestimmter Aufgaben
842;3;1;4;3;5;4;1;1;2;1;3;3;1;3;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;52;männlich;ich stelle eine Frage zu einem bestimmten Thema
843;2;2;3;1;3;3;3;3;3;3;2;2;1;1;Ich probiere neue Angebote eher schnell aus.;57;männlich;Ich habe versucht einen Text zu erstellen
846;2;2;4;1;2;4;2;4;4;3;2;1;1;1;Ich probiere neue Angebote eher schnell aus.;29;weiblich;Mich inspirieren lassen
847;3;3;5;4;4;5;3;4;3;1;3;3;2;4;Ich probiere neue Angebote eher schnell aus.;50;männlich;Texte zu bestimmten Fragestellungen und Python Programme generieren
865;1;5;3;3;4;2;5;2;3;4;3;4;2;1;Ich probiere neue Angebote eher schnell aus.;38;weiblich;blog geschieben
877;2;5;5;5;5;5;3;5;3;3;4;3;1;4;Ich probiere neue Angebote eher schnell aus.;23;weiblich;Texte paraphrasieren, Essays schreiben
884;3;3;3;4;5;4;2;3;3;3;4;3;1;1;Ich probiere neue Angebote eher schnell aus.;23;männlich;Problemlösungen für Algorithmen<br>
924;1;2;2;2;3;3;3;3;2;2;3;2;2;2;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.;56;männlich;Texte erstellen
925;2;3;-9;3;4;3;3;3;3;2;2;3;2;2;Ich probiere neue Angebote eher schnell aus.;62;männlich;texte erstellen
936;2;2;3;3;3;3;5;2;5;4;3;3;3;3;Ich probiere neue Angebote eher schnell aus.;20;weiblich;Als Gruppenaufgabe im Deutsch-Unterricht sollten wir CHat GPT ausprobieren, um zu schauen ob es wirklich Aufsätze schreiben kann
943;3;3;4;3;3;3;3;3;4;3;3;3;4;3;Ich probiere neue Angebote sofort aus.;35;männlich;Texte umschreiben, Ideen entwickeln zu Hausarbeiten, Formulierungsänderungen abfragen, Fragen stellen
944;2;1;3;2;4;3;5;5;5;5;1;2;2;1;Ich probiere neue Angebote eher schnell aus.;64;männlich;Ich lasse damit Texte schreiben oder Erzählungen, die ich poste. Habe eine Rede für eine Hochzeit damit erstellt. Übersetzt damit auch Fremdsprachen bzw. schmücke sie aus.
946;3;1;4;2;4;4;2;3;3;3;2;2;2;2;Ich probiere neue Angebote eher schnell aus.;45;weiblich;Informationen sammeln
948;1;1;1;1;1;1;5;1;5;5;1;1;1;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;55;männlich;Bisschen rumprobieren, bis mir die ständigen Wiederholungen und Standardantworten auf die Nerven gehen.
951;5;5;5;4;5;4;2;3;3;2;3;4;1;4;Ich probiere neue Angebote eher schnell aus.;25;weiblich;Zusammenfassungen von wissenschaftlichen Papern ausgeben
979;3;3;4;4;4;3;4;3;4;2;2;3;1;1;Ich probiere neue Angebote eher schnell aus.;36;männlich;Emails verbessern
986;2;1;3;3;3;4;3;3;3;2;3;2;3;3;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;44;weiblich;irgendwelche Fragen stellen, leider funktioniert chatgpt bei mir selten
1007;2;1;4;4;5;4;5;3;4;2;-9;1;2;2;Ich probiere neue Angebote eher schnell aus.;63;weiblich;Texte erstellen lassen, Interessensgebiete vertiefen
1009;1;3;3;4;4;3;2;3;2;4;4;3;2;4;Ich probiere neue Angebote eher schnell aus.;27;männlich;Texte erstellen, Varianten einholen, Textverarbeitung
1037;4;4;4;3;4;3;3;3;3;4;4;4;4;3;Ich probiere neue Angebote sofort aus.;33;divers;?????
1089;2;4;2;3;3;3;5;4;4;4;4;5;4;4;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;34;männlich;Suchen
1103;2;1;3;1;2;3;2;1;4;3;1;1;1;1;Ich probiere neue Angebote eher schnell aus.;36;männlich;Ich habe mal gefragt, ob ChatGPT mir ein 3 dimensionales Objekt als druckbare STL Datei erstellen könne. Das Programm sagte mir wie man dies könne. Es beschrieb detailiert (und korrekt) wie man sowas anstellt. Allerdings weiß ich bereits wie und mit welcher Software das funktioniert, ich wollte wissen ob die KI es für mich mnachen kann. Leider nein.
1120;3;2;4;2;4;4;3;3;3;2;3;2;1;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;23;männlich;Kurze zusammenfassungen<br>Sätze authentischer machen<br>Infos abfragen<br>Wissen erweitern
1122;3;1;5;4;4;5;2;3;4;1;2;2;1;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;19;weiblich;Programmier Tipps
1130;2;1;2;2;4;4;3;3;3;2;2;1;1;2;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;30;weiblich;Ich habe es nur ausprobiert um zu sehen welche Sprachen es spricht und wie es antwortet
1137;2;1;4;1;3;1;5;3;2;2;1;3;1;2;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;37;weiblich;Chatten
1150;3;1;4;1;4;3;3;3;3;2;2;2;1;1;Ich probiere neue Angebote eher schnell aus.;21;weiblich;Inspirationen für Kurzgeschichten oder Zeichnungen sammeln
1152;2;2;4;3;4;4;2;1;2;1;3;3;1;2;Ich probiere neue Angebote eher schnell aus.;31;männlich;Bisher habe ich Chat gpt nur ausprobiert und suche nach Verwendungszwecken<br>
1156;2;2;1;1;2;4;3;3;2;2;3;3;1;1;Ich probiere neue Angebote eher schnell aus.;41;weiblich;Textideen, Präsentationen
1171;3;2;4;3;2;3;5;3;5;4;2;2;1;2;Ich probiere neue Angebote eher schnell aus.;27;weiblich;Generelle Karrieretips, Tages- und Essensplanung, private E-Mails schreiben, Ausprobieren (verschiedene Fragestellungen ohne konkrete Nutzung)
1174;3;1;4;4;5;3;4;3;3;4;3;3;2;1;Ich probiere neue Angebote eher schnell aus.;52;männlich;"bisher nur ""gespielt"", um andere Beispiele zu prüfen. noch keine konkrete Anwendung für mich"
1179;2;1;2;2;3;3;4;5;4;3;2;2;1;3;Ich probiere neue Angebote eher schnell aus.;50;männlich;Spaßige Texte formulieren
1182;2;4;4;3;4;4;1;5;3;3;3;1;1;1;Ich probiere neue Angebote eher schnell aus.;43;männlich;IT Fragen klären
1187;2;2;4;3;4;4;4;3;3;4;2;2;1;1;Ich probiere neue Angebote eher schnell aus.;21;weiblich;E-Mails
1199;2;1;4;3;3;3;3;3;3;3;3;3;3;2;Ich probiere neue Angebote eher schnell aus.;38;weiblich;Inspiration holen
1207;3;3;3;2;4;3;2;2;3;2;2;2;1;2;Ich probiere neue Angebote sofort aus.;37;männlich;Generate source code<br>
1208;4;2;5;1;4;4;3;2;3;2;2;4;3;1;Ich probiere neue Angebote eher schnell aus.;57;weiblich;Fragen stellen, aus unterschiedlichen Bereichen
1209;2;1;3;2;4;3;3;3;3;3;2;2;2;2;Ich probiere neue Angebote eher schnell aus.;43;männlich;bisher nur Tests zu dessen Umfang und Aktualität
1226;3;1;4;3;4;4;2;2;3;2;3;3;1;2;Ich probiere neue Angebote eher schnell aus.;38;weiblich;Strukturierung von Texten, Inspiration.
1227;3;3;3;4;5;4;4;5;4;2;1;1;2;3;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;35;weiblich;Ich habe das Programm gerade erst entdeckt, daher kann ich hierzu noch keine Aussage treffen.
1254;4;4;-9;4;4;4;3;3;3;2;2;2;3;4;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;39;weiblich;Erstellen von content plan
1262;1;1;3;2;4;3;5;4;3;2;1;1;2;4;Ich probiere neue Angebote eher schnell aus.;57;männlich;nix
1270;3;1;3;1;2;4;3;2;2;2;2;1;2;2;Ich probiere neue Angebote eher schnell aus.;41;weiblich;Sachen die ich sonst googeln würde abfragen
1288;2;2;4;3;4;4;4;3;2;3;3;2;2;2;Ich probiere neue Angebote eher schnell aus.;67;männlich;Stichpunktartige Inhalte in sinnvollen Kontext bringen. Dann manuell nachbessern.
1299;2;4;3;3;3;3;3;3;3;3;3;3;3;3;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;24;weiblich;meine bachelor arbeit absätze inhaltlich und rhetorisch überprüfen lassen <br>mir bei formulierungen helfen lassen <br>
1300;2;3;3;1;3;1;2;4;4;1;2;1;1;1;Ich probiere neue Angebote eher schnell aus.;38;männlich;-
1331;3;4;4;3;3;4;2;3;2;2;3;4;2;2;Ich probiere neue Angebote eher schnell aus.;41;männlich;Texte erstellen
1335;2;1;3;1;3;3;3;1;3;3;1;1;1;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;42;männlich;müsste erstmal durchkommen, bisher war ChatGPT immer voll ausgelastet
1337;3;1;2;1;1;4;3;1;5;1;1;2;1;1;Ich probiere neue Angebote eher schnell aus.;34;männlich;blödsinn. Lasse mir von ChatGPT Geschichten erstellen oder frage die KI nach bestimmten Dingen und amüsiere mich dann über die eingebaute Zensur
1347;4;5;5;5;5;5;1;5;5;1;5;5;5;5;Ich probiere neue Angebote sofort aus.;30;männlich;gut
1361;2;1;3;3;3;4;3;3;3;2;2;1;1;2;Ich probiere neue Angebote eher schnell aus.;68;männlich;Gedichte und Glückwunsche
1377;1;1;4;1;5;4;3;2;3;3;1;1;1;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;24;männlich;Bisher 1x ausprobiert und verschiedene Fragen gestellt
1390;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;52;männlich;ist überflüssig
1409;1;1;3;3;3;3;3;3;3;3;2;2;2;3;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;55;weiblich;Nichts
1421;2;1;1;1;1;1;4;4;2;4;3;1;1;2;Ich probiere neue Angebote eher schnell aus.;26;weiblich;Ausprobieren aus Spaß
1468;4;5;3;2;4;3;2;3;3;2;5;4;3;5;Ich probiere neue Angebote sofort aus.;22;weiblich;Fragen zu Informationssicherheit stellen, er soll mir Sachen erklären und einordnen. Auch Programmiertipps oder das Finde eines Themas zur Masterarbeit
1491;1;1;4;3;2;4;4;3;3;3;1;1;1;1;Ich probiere neue Angebote eher schnell aus.;45;männlich;Ich habe Fragen aus meinem persönlichen und meinem beruflichen Kontext gestellt, um die Qualität der Texte aber auch der Informationen kennenzulernen und einschätzen zu können.
1492;3;4;5;2;3;5;5;5;5;5;3;3;1;3;Ich probiere neue Angebote eher schnell aus.;38;männlich;Deutsche Aufsätze schreiben die dann ins koreanische übersetzt werden.
1528;2;2;4;3;2;4;1;3;3;2;2;2;2;2;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;19;männlich;Etwas schreib rein aus Langeweile
1549;2;3;4;2;5;5;3;5;3;2;3;3;1;5;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.;63;weiblich;Fragen stellen, Texte oder Berichte erstellen lassen
