item_name;item_group;item_class;item_label;value_name;value_label
cg_adoption_social_04;cg;;Expectations: Using ChatGPT brings me recognition from my environment.;-9;[no answer]
adopter;adopter;factor;Innovator type;;I try new offers immediately
adopter;adopter;factor;Innovator type;;I try new offers rather quickly
adopter;adopter;factor;Innovator type;;I wait until offers establish themselves
adopter;adopter;factor;Innovator type;;I only use new offers when I have no other choice
adopter;adopter;factor;Innovator type;;[no answer]
sd_gender;sd;factor;Gender;;female
sd_gender;sd;factor;Gender;;male
sd_gender;sd;factor;Gender;;diverse
sd_gender;sd;factor;Gender;;[no answer]
