case;use_private;use_work;cg_adoption_advantage_01;cg_adoption_advantage_02;cg_adoption_advantage_03;cg_adoption_advantage_04;cg_adoption_fearofuse_01;cg_adoption_fearofuse_02;cg_adoption_fearofuse_03;cg_adoption_fearofuse_04;cg_adoption_social_01;cg_adoption_social_02;cg_adoption_social_03;cg_adoption_social_04;adopter;sd_age;sd_gender;cg_activities;cg_act_write;cg_act_test;cg_act_search
515;1;1;1;3;1;1;5;5;5;2;1;1;3;1;I try new offers rather quickly;44;male;Nothing;;;
518;2;2;2;2;2;3;4;3;3;3;2;2;1;2;I wait until offers establish themselves;53;female;I look for text formulations for complicated situations, relationships;x;;
533;4;4;5;5;5;5;5;5;5;5;5;5;5;5;I try new offers immediately;56;male;Creating profiles;x;;
542;3;3;4;3;4;4;2;3;2;2;4;3;3;3;I wait until offers establish themselves;62;female;Having short explanations written;;;x
553;2;2;4;4;4;4;4;3;3;4;4;3;3;4;I try new offers rather quickly;40;male;I use it instead of a search engine for more complex queries;;;x
556;5;2;5;4;4;5;5;5;4;5;4;5;4;4;I try new offers immediately;36;male;Very exciting game;;x;
590;3;4;3;4;2;5;4;3;4;2;2;3;4;3;I try new offers immediately;37;male;Nothing;;;
592;4;1;4;1;3;5;4;4;-9;4;1;1;-9;1;I wait until offers establish themselves;26;female;Translating texts or looking for synonyms for words;x;;
597;2;1;3;4;4;3;4;3;3;4;2;3;1;1;I try new offers rather quickly;58;male;Creating application documents;x;;
599;4;2;5;3;4;5;2;3;3;1;3;2;3;3;I try new offers rather quickly;56;female;Having short explanations or essays created;x;;x
635;4;4;3;3;4;4;3;4;4;3;3;3;2;4;I try new offers immediately;38;male;Chatting and exchanging;;x;
649;3;3;2;4;4;4;4;4;4;4;4;5;3;3;I try new offers immediately;33;male;Inventing texts;x;;
654;2;1;1;1;1;2;2;1;1;2;1;1;2;3;I try new offers immediately;39;male;Asking funny questions where I am sure ChatGPT actually cannot have an answer;;x;
664;4;1;3;1;4;3;4;3;3;2;2;1;1;2;I try new offers rather quickly;46;male;Writing with private persons abroad. Unfortunately, I am not very good at French;x;;
701;2;2;2;2;2;3;2;2;2;1;2;1;1;1;I try new offers rather quickly;38;male;Playing around, having texts generated;;x;
719;1;2;3;2;4;2;3;5;4;4;2;1;1;1;I try new offers rather quickly;55;female;I just played around and tried out the text creation capabilities;;x;
797;2;5;3;5;5;3;4;2;5;3;2;3;1;1;I try new offers rather quickly;32;female;Helps me write good articles;x;;
811;4;3;5;2;5;5;2;2;3;2;1;1;1;3;I try new offers rather quickly;21;male;Help with phrasing, translations, idea generation;x;;
826;2;5;3;4;4;4;3;2;4;5;4;2;2;4;I try new offers rather quickly;20;male;Summarizing texts, but also asking about methods regarding task completion;x;;x
842;3;1;4;3;5;4;1;1;2;1;3;3;1;3;I wait until offers establish themselves;52;male;I ask a question about a specific topic;;;x
843;2;2;3;1;3;3;3;3;3;3;2;2;1;1;I try new offers rather quickly;57;male;I tried to create a text;x;;
846;2;2;4;1;2;4;2;4;4;3;2;1;1;1;I try new offers rather quickly;29;female;Getting inspired;;;x
847;3;3;5;4;4;5;3;4;3;1;3;3;2;4;I try new offers rather quickly;50;male;Generating texts for specific questions and Python programs;x;;
865;1;5;3;3;4;2;5;2;3;4;3;4;2;1;I try new offers rather quickly;38;female;Wrote blog;x;;
877;2;5;5;5;5;5;3;5;3;3;4;3;1;4;I try new offers rather quickly;23;female;Paraphrasing texts, writing essays;x;;
884;3;3;3;4;5;4;2;3;3;3;4;3;1;1;I try new offers rather quickly;23;male;Problem solutions for algorithms;x;;
924;1;2;2;2;3;3;3;3;2;2;3;2;2;2;I only use new offers when I have no other choice;56;male;Creating texts;x;;
925;2;3;-9;3;4;3;3;3;3;2;2;3;2;2;I try new offers rather quickly;62;male;Creating texts;x;;
936;2;2;3;3;3;3;5;2;5;4;3;3;3;3;I try new offers rather quickly;20;female;As a group task in German class we had to try ChatGPT to see if it can really write essays;x;x;
943;3;3;4;3;3;3;3;3;4;3;3;3;4;3;I try new offers immediately;35;male;Rewriting texts, developing ideas for papers, querying formulation changes, asking questions;x;;x
944;2;1;3;2;4;3;5;5;5;5;1;2;2;1;I try new offers rather quickly;64;male;I have texts or stories written with it that I post. Created a speech for a wedding with it. Also translate foreign languages with it or embellish them;x;;
946;3;1;4;2;4;4;2;3;3;3;2;2;2;2;I try new offers rather quickly;45;female;Collecting information;;;x
948;1;1;1;1;1;1;5;1;5;5;1;1;1;1;I wait until offers establish themselves;55;male;Playing around a bit until the constant repetitions and standard answers annoy me;x;;
951;5;5;5;4;5;4;2;3;3;2;3;4;1;4;I try new offers rather quickly;25;female;Providing summaries of scientific papers;x;;
979;3;3;4;4;4;3;4;3;4;2;2;3;1;1;I try new offers rather quickly;36;male;Improving emails;x;;
986;2;1;3;3;3;4;3;3;3;2;3;2;3;3;I wait until offers establish themselves;44;female;Asking random questions, unfortunately ChatGPT rarely works for me;;;x
1007;2;1;4;4;5;4;5;3;4;2;-9;1;2;2;I try new offers rather quickly;63;female;Having texts created, deepening areas of interest;x;;x
1009;1;3;3;4;4;3;2;3;2;4;4;3;2;4;I try new offers rather quickly;27;male;Creating texts, getting variants, text processing;x;;
1037;4;4;4;3;4;3;3;3;3;4;4;4;4;3;I try new offers immediately;33;diverse;?????;;;
1089;2;4;2;3;3;3;5;4;4;4;4;5;4;4;I wait until offers establish themselves;34;male;Searching;;;x
1103;2;1;3;1;2;3;2;1;4;3;1;1;1;1;I try new offers rather quickly;36;male;I once asked if ChatGPT can create a 3D object as printable STL file for me. The program told me how to do this. It described in detail (and correctly) how to do such a thing. However, I already know how and with which software this works, I wanted to know if the AI could do it for me. Unfortunately no.;x;x;
1120;3;2;4;2;4;4;3;3;3;2;3;2;1;1;I wait until offers establish themselves;23;male;Short summaries, making sentences more authentic, querying information, expanding knowledge;x;;x
1122;3;1;5;4;4;5;2;3;4;1;2;2;1;1;I wait until offers establish themselves;19;female;Programming tips;;;x
1130;2;1;2;2;4;4;3;3;3;2;2;1;1;2;I wait until offers establish themselves;30;female;I just tried it to see which languages it speaks and how it answers;;x;
1137;2;1;4;1;3;1;5;3;2;2;1;3;1;2;I wait until offers establish themselves;37;female;Chatting;;;
1150;3;1;4;1;4;3;3;3;3;2;2;2;1;1;I try new offers rather quickly;21;female;Collecting inspirations for short stories or drawings;;;x
1152;2;2;4;3;4;4;2;1;2;1;3;3;1;2;I try new offers rather quickly;31;male;So far I have only tried ChatGPT and am searching for uses;;x;
1156;2;2;1;1;2;4;3;3;2;2;3;3;1;1;I try new offers rather quickly;41;female;Text ideas, presentations;x;;
1171;3;2;4;3;2;3;5;3;5;4;2;2;1;2;I try new offers rather quickly;27;female;General career tips, daily and meal planning, writing personal emails, trying out (various questions without concrete use);x;x;x
1174;3;1;4;4;5;3;4;3;3;4;3;3;2;1;I try new offers rather quickly;52;male;So far only 'played' to check other examples. No concret;;;
1179;2;1;2;2;3;3;4;5;4;3;2;2;1;3;I try new offers rather quickly;50;male;Formulating funny texts;x;;
1182;2;4;4;3;4;4;1;5;3;3;3;1;1;1;I try new offers rather quickly;43;male;Clarifying IT questions;;;x
1187;2;2;4;3;4;4;4;3;3;4;2;2;1;1;I try new offers rather quickly;21;female;Emails;x;;
1199;2;1;4;3;3;3;3;3;3;3;3;3;3;2;I try new offers rather quickly;38;female;Getting inspiration;;;x
1207;3;3;3;2;4;3;2;2;3;2;2;2;1;2;I try new offers immediately;37;male;Generate source code;x;;
1208;4;2;5;1;4;4;3;2;3;2;2;4;3;1;I try new offers rather quickly;57;female;Asking questions from different fields;;;x
1209;2;1;3;2;4;3;3;3;3;3;2;2;2;2;I try new offers rather quickly;43;male;Only tests of its scope and topicality so far;;x;
1226;3;1;4;3;4;4;2;2;3;2;3;3;1;2;I try new offers rather quickly;38;female;Structuring texts, inspiration;x;;x
1227;3;3;3;4;5;4;4;5;4;2;1;1;2;3;I wait until offers establish themselves;35;female;I just discovered the program, so I cannot make a statement on this yet;;;
1254;4;4;-9;4;4;4;3;3;3;2;2;2;3;4;I wait until offers establish themselves;39;female;Creating content plan;x;;
1262;1;1;3;2;4;3;5;4;3;2;1;1;2;4;I try new offers rather quickly;57;male;Nothing;;;
1270;3;1;3;1;2;4;3;2;2;2;2;1;2;2;I try new offers rather quickly;41;female;Querying things I would otherwise google;;;x
1288;2;2;4;3;4;4;4;3;2;3;3;2;2;2;I try new offers rather quickly;67;male;Putting bullet point content into meaningful context. Then manually improving;x;;
1299;2;4;3;3;3;3;3;3;3;3;3;3;3;3;I wait until offers establish themselves;24;female;Having my bachelor thesis paragraphs checked content-wise and rhetorically, getting help with formulations;x;;
1300;2;3;3;1;3;1;2;4;4;1;2;1;1;1;I try new offers rather quickly;38;male;-;;;
1331;3;4;4;3;3;4;2;3;2;2;3;4;2;2;I try new offers rather quickly;41;male;Creating texts;x;;
1335;2;1;3;1;3;3;3;1;3;3;1;1;1;1;I wait until offers establish themselves;42;male;Would have to get through first, so far ChatGPT was always overloaded;;;
1337;3;1;2;1;1;4;3;1;5;1;1;2;1;1;I try new offers rather quickly;34;male;Nonsense. I have ChatGPT create stories or ask AI about certain things and then amuse myself about the built-in censorship;;x;
1347;4;5;5;5;5;5;1;5;5;1;5;5;5;5;I try new offers immediately;30;male;Good;;;
1361;2;1;3;3;3;4;3;3;3;2;2;1;1;2;I try new offers rather quickly;68;male;Poems and congratulations;x;;
1377;1;1;4;1;5;4;3;2;3;3;1;1;1;1;I wait until offers establish themselves;24;male;Tried once so far and asked various questions;;;x
1390;1;1;1;1;1;1;1;1;1;1;1;1;1;1;I wait until offers establish themselves;52;male;Is superfluous;;;
1409;1;1;3;3;3;3;3;3;3;3;2;2;2;3;I wait until offers establish themselves;55;female;Nothing;;;
1421;2;1;1;1;1;1;4;4;2;4;3;1;1;2;I try new offers rather quickly;26;female;Trying out for fun;;x;
1468;4;5;3;2;4;3;2;3;3;2;5;4;3;5;I try new offers immediately;22;female;Asking questions about information security, asking it to explain and classify things. Also programming tips or finding a topic for the master's thesis;;;x
1491;1;1;4;3;2;4;4;3;3;3;1;1;1;1;I try new offers rather quickly;45;male;I asked questions from my personal and professional context to get to know and assess the quality of texts and information;;x;x
1492;3;4;5;2;3;5;5;5;5;5;3;3;1;3;I try new offers rather quickly;38;male;Writing German essays that are then translated into Korean;x;;
1528;2;2;4;3;2;4;1;3;3;2;2;2;2;2;I wait until offers establish themselves;19;male;Writing something out of boredom;x;;
1549;2;3;4;2;5;5;3;5;3;2;3;3;1;5;I wait until offers establish themselves;63;female;Asking questions, having texts or reports created;x;;x
