item_name;item_group;item_class;item_label;value_name;value_label
cg_adoption_fearofuse_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT könnte persönliche Nachteile mit sich bringen.;2;trifft eher nicht zu
cg_adoption_fearofuse_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT könnte persönliche Nachteile mit sich bringen.;3;teils teils
cg_adoption_fearofuse_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT könnte persönliche Nachteile mit sich bringen.;4;trifft eher zu
cg_adoption_fearofuse_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT könnte persönliche Nachteile mit sich bringen.;5;trifft voll zu
cg_adoption_fearofuse_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT könnte persönliche Nachteile mit sich bringen.;-1;k.A.
cg_adoption_social_01;cg;;ChatGPT-Erwartung: In meinem Umfeld gehört die Nutzung von ChatGPT zum Standard.;1;trifft gar nicht zu
cg_adoption_social_01;cg;;ChatGPT-Erwartung: In meinem Umfeld gehört die Nutzung von ChatGPT zum Standard.;2;trifft eher nicht zu
cg_adoption_social_01;cg;;ChatGPT-Erwartung: In meinem Umfeld gehört die Nutzung von ChatGPT zum Standard.;3;teils teils
cg_adoption_social_01;cg;;ChatGPT-Erwartung: In meinem Umfeld gehört die Nutzung von ChatGPT zum Standard.;4;trifft eher zu
cg_adoption_social_01;cg;;ChatGPT-Erwartung: In meinem Umfeld gehört die Nutzung von ChatGPT zum Standard.;5;trifft voll zu
cg_adoption_social_01;cg;;ChatGPT-Erwartung: In meinem Umfeld gehört die Nutzung von ChatGPT zum Standard.;-1;k.A.
cg_adoption_social_02;cg;;ChatGPT-Erwartung: Fast alle Personen in meinem Umfeld nutzen ChatGPT.;1;trifft gar nicht zu
cg_adoption_social_02;cg;;ChatGPT-Erwartung: Fast alle Personen in meinem Umfeld nutzen ChatGPT.;2;trifft eher nicht zu
cg_adoption_social_02;cg;;ChatGPT-Erwartung: Fast alle Personen in meinem Umfeld nutzen ChatGPT.;3;teils teils
cg_adoption_social_02;cg;;ChatGPT-Erwartung: Fast alle Personen in meinem Umfeld nutzen ChatGPT.;4;trifft eher zu
cg_adoption_social_02;cg;;ChatGPT-Erwartung: Fast alle Personen in meinem Umfeld nutzen ChatGPT.;5;trifft voll zu
cg_adoption_social_02;cg;;ChatGPT-Erwartung: Fast alle Personen in meinem Umfeld nutzen ChatGPT.;-1;k.A.
cg_adoption_social_03;cg;;ChatGPT-Erwartung: Wer ChatGPT nicht nutzt, wird als Außenseiter angesehen.;1;trifft gar nicht zu
cg_adoption_social_03;cg;;ChatGPT-Erwartung: Wer ChatGPT nicht nutzt, wird als Außenseiter angesehen.;2;trifft eher nicht zu
cg_adoption_social_03;cg;;ChatGPT-Erwartung: Wer ChatGPT nicht nutzt, wird als Außenseiter angesehen.;3;teils teils
cg_adoption_social_03;cg;;ChatGPT-Erwartung: Wer ChatGPT nicht nutzt, wird als Außenseiter angesehen.;4;trifft eher zu
cg_adoption_social_03;cg;;ChatGPT-Erwartung: Wer ChatGPT nicht nutzt, wird als Außenseiter angesehen.;5;trifft voll zu
cg_adoption_social_03;cg;;ChatGPT-Erwartung: Wer ChatGPT nicht nutzt, wird als Außenseiter angesehen.;-1;k.A.
cg_adoption_social_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT bringt mir Anerkennung aus meinem Umfeld.;1;trifft gar nicht zu
cg_adoption_social_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT bringt mir Anerkennung aus meinem Umfeld.;2;trifft eher nicht zu
cg_adoption_social_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT bringt mir Anerkennung aus meinem Umfeld.;3;teils teils
cg_adoption_social_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT bringt mir Anerkennung aus meinem Umfeld.;4;trifft eher zu
cg_adoption_social_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT bringt mir Anerkennung aus meinem Umfeld.;5;trifft voll zu
cg_adoption_social_04;cg;;ChatGPT-Erwartung: Die Nutzung von ChatGPT bringt mir Anerkennung aus meinem Umfeld.;-1;k.A.
adopter;adopter;factor;Innovator type;;Ich probiere neue Angebote sofort aus.
adopter;adopter;factor;Innovator type;;Ich probiere neue Angebote eher schnell aus.
adopter;adopter;factor;Innovator type;;Ich warte eher ab, bis sich die Angebote durchgesetzt haben.
adopter;adopter;factor;Innovator type;;Ich nutze neue Angebote erst, wenn ich nicht mehr anders kann.
adopter;adopter;factor;Innovator type;;[NA] nicht beantwortet
sd_gender;sd;factor;Geschlecht;;weiblich
sd_gender;sd;factor;Geschlecht;;männlich
sd_gender;sd;factor;Geschlecht;;divers
sd_gender;sd;factor;Geschlecht;;[NA] nicht beantwortet
